HUAXI0Z Verification Table


,,Test Exerciser - AIX: HTX

Net Name,Measured on HUAXI0Z,DC,DC Drop(mv),High Pk.,Low Pk.,AC (pk-pk),Freq. (MHz)


+1.0V,L1_1P0V_BP
,L30_EXPA
,L30_EXPB
,L31_EXPA
,L31_EXPB
,L34_EXPA
,L34_EXPB
,L35_EXPA
,L35_EXPB
,L36_EXPA
,L36_EXPB
,L40_EXPA
,L40_EXPB
,L41_EXPA
,L41_EXPB
,L42_EXPA
,L42_EXPB
,L43_EXPA
,L43_EXPB
,L44_EXPA
,L44_EXPB
,L45_EXPA
,L45_EXPB
,L46_EXPA
,L46_EXPB
,L47_EXPA
,L47_EXPB
,L48_EXPA
,L48_EXPB
,L49_EXPA
,L49_EXPB
,L50_EXPA
,L50_EXPB
,L51_EXPA
,L51_EXPB
,L52_EXPA
,L52_EXPB
,L53_EXPA
,L53_EXPB
,L54_EXPA
,L54_EXPB
,L55_EXPA
,L55_EXPB
,L56_EXPA
,L56_EXPB
,L57_EXPA
,L57_EXPB
,L58_EXPA
,L58_EXPB
,L59_EXPA
,L59_EXPB
,L60_EXPA
,L60_EXPB
,L61_EXPA
,L61_EXPB
,L62_EXPA
,L62_EXPB
,L63_EXPA
,L63_EXPB
,L64_EXPA
,L64_EXPB
,L65_EXPA
,L65_EXPB
,L66_EXPA
,L66_EXPB
,L67_EXPA
,L67_EXPB
,L68_EXPA
,L68_EXPB
,L69_EXPA
,L69_EXPB
,L70_EXPA
,L70_EXPB
,L71_EXPA
,L71_EXPB
,L72_EXPA
,L72_EXPB
,L81_EXPA
,L81_EXPB
,L82_EXPA
,L82_EXPB
,L83_EXPA
,L83_EXPB
,L84_EXPA
,L84_EXPB
,L85_EXPA
,L85_EXPB
,L86_EXPA
,L86_EXPB
,L87_EXPA
,L87_EXPB
,L88_EXPA
,L88_EXPB
,L89_EXPA
,L89_EXPB
,L91_EXPB
,L92_EXPB
,R210_EXPA
,R210_EXPB
,R211_EXPA
,R211_EXPB
,R213_EXPA
,R213_EXPB
,R214_EXPA
,R214_EXPB
,R215_EXPA
,R215_EXPB
,R216_EXPA
,R216_EXPB
,R4_1P0V_BP
,U1_EXPDR
,U2_EXPDR


+1.8V,L37_EXPA
,L37_EXPB
,R217_EXPA
,R217_EXPB
,R800_U1_EXPDR
,R800_U2_EXPDR
,U1_1P8V_DASD


+12.0VA,F1_1P0V
,J2_POWER
,J_B1_D1
,J_B1_D2
,J_B1_D3
,J_B1_D4
,J_B1_D5
,J_B1_D6
,J_B1_D7
,J_B1_D8
,R17_5P0VA
,R2_B1_D1
,R2_B1_D2
,R2_B1_D3
,R2_B1_D4
,R2_B1_D5
,R2_B1_D6
,R2_B1_D7
,R2_B1_D8
,U1_5P0VA


+12.0VB,F1_3P3V
,J2_POWER
,PS1_5P0VB


+3.3V,CEEPA1
,D1_B1_ERR
,D1_B2_ERR
,D2_B1_ERR
,D2_B2_ERR
,D3_B1_ERR
,D3_B2_ERR
,D4_B1_ERR
,D4_B2_ERR
,D5_B1_ERR
,D5_B2_ERR
,D6_B1_ERR
,D6_B2_ERR
,D7_B1_ERR
,D8_B1_ERR
,DVD_ERR
,J1_EXPA_JTAG
,J1_EXPA_MDIO
,J1_EXPB_JTAG
,J1_EXPB_MDIO
,J1_UART_EXPA
,J1_UART_EXPB
,J2_UART_EXPA
,J2_UART_EXPB
,J_B2_D1
,J_B2_D2
,J_B2_D3
,J_B2_D4
,J_B2_D5
,J_B2_D6
,J_MFG1
,L2_EXPA
,L2_EXPB
,L33_EXPA
,L33_EXPB
,PS1_3P3V_DASD
,R100_LED_CHECK
,R101_LED_CHECK
,R1106_EXPA
,R1106_EXPB
,R1107_EXPA
,R1107_EXPB
,R1108_EXPA
,R1108_EXPB
,R1109_EXPA
,R1109_EXPB
,R1110_EXPA
,R1110_EXPB
,R1111_EXPA
,R1111_EXPB
,R1112_EXPA
,R1113_EXPA
,R1113_EXPB
,R1117_EXPA
,R1117_EXPB
,R1119_EXPA
,R1119_EXPB
,R1120_EXPA
,R1120_EXPB
,R1121_EXPA
,R1121_EXPB
,R1122_EXPA
,R1122_EXPB
,R1127_EXPA
,R1127_EXPB
,R1128_EXPA
,R1128_EXPB
,R1129_EXPA
,R1129_EXPB
,R1130_EXPA
,R1130_EXPB
,R1131_EXPA
,R1131_EXPB
,R1132_EXPA
,R1132_EXPB
,R1133_EXPA
,R1133_EXPB
,R1134_EXPA
,R1134_EXPB
,R1135_EXPA
,R1135_EXPB
,R1136_EXPA
,R1136_EXPB
,R1140_EXPA
,R1140_EXPB
,R1141_EXPB
,R1150_EXPA
,R1150_EXPB
,R1151_EXPA
,R1151_EXPB
,R1152_EXPA
,R1152_EXPB
,R1153_EXPA
,R1153_EXPB
,R1154_EXPA
,R1154_EXPB
,R1155_EXPA
,R1155_EXPB
,R1158_EXP
,R1159_EXPB
,R1300_EXPA
,R1300_EXPB
,R1301_EXPA
,R1301_EXPB
,R1302_EXPA
,R1302_EXPB
,R1303_EXPA
,R1303_EXPB
,R1304_EXPA
,R1304_EXPB
,R1305_EXPA
,R1305_EXPB
,R1306_EXPA
,R1306_EXPB
,R1307_EXPA
,R1307_EXPB
,R1308_EXPA
,R1308_EXPB
,R1309_EXPA
,R1309_EXPB
,R1310_EXPA
,R1310_EXPB
,R1311_EXPA
,R1311_EXPB
,R1312_EXPA
,R1312_EXPB
,R16_EXP
,R17_EXP
,R1_B1_D17
,R1_EXP_RST
,R1_MDIO_EXPA
,R1_MDIO_EXPB
,R1_RD1
,R223_EXPA
,R223_EXPB
,R2_B2_D1
,R2_B2_D2
,R2_B2_D3
,R2_B2_D4
,R2_B2_D5
,R2_B2_D6
,R2_MDIO_EXPA
,R2_MDIO_EXPB
,R2_RD1
,R332_EXPA
,R332_EXPB
,R3_B1_D1
,R3_B1_D2
,R3_B1_D3
,R3_B1_D4
,R3_B1_D5
,R3_B1_D6
,R3_B1_D7
,R3_B1_D8
,R3_B2_D1
,R3_B2_D2
,R3_B2_D3
,R3_B2_D4
,R3_B2_D5
,R3_B2_D6
,R3_EXPA
,R3_EXPB
,R3_RD1
,RVDVD5
,U1_1P8V_DASD
,U1_EXPDR
,U1_EXP_RST
,U1_FLASH_EXPA
,U1_FLASH_EXPB
,U1_REDRIVE
,U2_EXPDR
,UEEPA1


+3.3VCS,D1_DASD_FRU
,D1_PSOC
,D1_RUSTY_FRU
,J1_RUSTY
,J2_POWER
,R101_PSOC
,R11_1P0V_BP
,R1_1P8V_DASD
,R1_3P3V_DASD
,R1_5P0VB
,R1_RUSTY
,R1_TMS1
,R1_VPD
,R2_I2C
,R2_VPD
,R3_EXPIO_LED
,R3_RUSTY
,R3_TMS1
,R3_TMS2
,R3_VPD
,R4_3P3V_DASD
,R4_5P0VB
,R4_EXPIO_LED
,R4_RUSTY
,R4_TMS1
,R4_TMS2
,R6_EXPIO_LED
,R6_TMS1
,R6_TMS2
,R8_EXPIO_LED
,R9_EXPIO_LED
,U1_1P0V_BP
